nombre,apellido,edad,sexo,horas_estudio,nota
José,Fernández,18,M,2,45.37
Pedro,López,20,F,2,53.61
Carlos,Ruiz,19,M,9,100.0
Ana,Rodríguez,20,M,5,52.96
Luis,Fernández,22,M,4,55.08
Miguel,Pérez,19,F,1,43.05
Elena,López,21,M,7,84.52
Laura,Hernández,20,M,3,56.67
Elena,Pérez,19,M,6,75.63
Ana,Díaz,20,F,5,86.34
Sofía,Díaz,19,M,5,60.3
Sofía,García,18,M,5,79.08
Luis,Rodríguez,20,M,1,43.2
Laura,Ruiz,21,M,1,50.4
Pedro,Fernández,21,F,3,75.03
Luis,Martínez,22,M,4,69.51
Elena,Hernández,19,F,5,72.98
Luis,López,20,F,2,64.79
Elena,Ruiz,22,F,8,97.0
Carlos,Pérez,20,M,2,45.6
Sofía,Díaz,19,F,9,96.36
Carlos,Hernández,21,M,2,38.26
Miguel,Martínez,18,F,9,89.68
Laura,Fernández,21,F,7,84.51
Pedro,García,22,F,8,83.18
Elena,Martínez,18,F,2,54.19
Pedro,Hernández,22,F,7,81.89
Elena,Martínez,19,F,6,80.29
Ana,Hernández,18,F,4,60.61
Luis,Hernández,22,F,7,74.48
Miguel,Gómez,19,M,4,75.83
Sofía,López,21,M,2,48.03
Elena,Díaz,19,F,7,87.28
Pedro,Gómez,20,F,8,99.48
Miguel,Fernández,19,F,2,53.3
María,Gómez,19,M,5,63.15
María,Rodríguez,20,F,1,44.57
Carlos,Rodríguez,22,M,7,90.14
Sofía,Díaz,22,M,8,89.65
Ana,Martínez,19,M,6,66.36
Pedro,López,20,M,5,74.77
Luis,Díaz,20,M,6,82.16
Luis,Hernández,21,F,2,49.16
Pedro,Pérez,22,F,1,50.88
Laura,López,18,F,7,83.96
Ana,López,22,F,7,80.42
Miguel,Hernández,22,F,2,41.65
Elena,Hernández,21,M,2,60.62
Laura,García,18,F,1,52.07
Elena,Díaz,21,F,8,92.67
Elena,Hernández,18,M,8,100.0
Laura,Rodríguez,19,F,1,53.56
Carlos,Fernández,18,M,8,93.49
María,Pérez,21,F,9,76.29
Elena,Díaz,22,M,4,73.58
Laura,Ruiz,18,F,1,46.66
Laura,Rodríguez,18,F,1,48.5
José,Martínez,20,M,3,60.55
Carlos,Hernández,22,M,5,76.19
Sofía,Ruiz,19,M,5,78.98
José,Hernández,21,M,9,99.07
José,López,19,M,2,55.8
Pedro,Rodríguez,22,M,2,53.85
María,López,18,M,6,49.19
Laura,García,18,M,9,91.7
María,López,22,F,1,38.47
Ana,García,18,F,9,100.0
Pedro,García,18,M,9,98.95
Sofía,Ruiz,18,F,9,90.33
María,Hernández,21,F,5,67.14
Luis,Martínez,21,F,9,90.85
Elena,López,20,F,4,60.71
Ana,Rodríguez,19,M,2,40.44
Carlos,García,22,F,6,62.71
Sofía,Hernández,22,M,4,64.23
Ana,Pérez,22,F,6,84.6
Elena,Díaz,20,F,3,53.7
Pedro,Ruiz,21,F,6,78.43
Elena,Martínez,20,M,2,57.87
José,Gómez,22,F,2,44.05
Elena,Ruiz,19,M,9,93.84
José,Pérez,18,F,7,76.67
Pedro,Díaz,21,M,3,70.85
Miguel,Pérez,21,F,1,58.5
José,López,20,M,8,80.06
Carlos,García,21,M,6,79.09
Elena,Martínez,22,F,7,90.54
Elena,Fernández,22,M,9,100.0
Carlos,García,20,F,5,70.65
Luis,Fernández,22,F,1,56.45
Laura,Díaz,19,F,7,74.76
Miguel,Hernández,20,F,5,67.58
Sofía,Gómez,19,F,3,50.98
José,Rodríguez,18,F,9,100.0
Carlos,García,19,F,1,41.34
Pedro,Martínez,18,F,1,44.63
José,Pérez,18,F,1,50.94
Laura,Martínez,19,F,3,63.59
Pedro,Díaz,20,F,6,68.74
Ana,Fernández,22,M,3,66.45
Elena,Pérez,22,M,8,91.65
Ana,Rodríguez,18,F,2,43.35
José,Rodríguez,18,F,9,83.38
Laura,García,20,F,3,57.87
Miguel,Díaz,21,F,5,76.8
José,Hernández,19,F,8,95.01
Carlos,Díaz,18,F,2,54.85
María,Fernández,22,F,6,76.39
José,Martínez,20,F,5,74.09
Elena,Rodríguez,19,M,9,87.16
Elena,Martínez,20,F,5,83.5
José,Martínez,19,M,2,65.39
Pedro,Martínez,19,F,5,73.43
María,Rodríguez,18,F,4,65.58
Carlos,Ruiz,20,M,7,78.71
José,López,20,F,6,80.23
Pedro,Fernández,22,M,2,46.47
Elena,Ruiz,22,F,5,52.21
Elena,Fernández,18,F,7,60.29
Laura,Pérez,18,M,7,75.6
José,Díaz,21,F,5,71.25
María,Díaz,22,M,9,96.66
Luis,Gómez,19,F,4,60.11
María,Díaz,20,M,3,59.13
Elena,Rodríguez,18,M,4,61.81
Elena,Hernández,20,F,5,62.01
Ana,García,20,F,6,75.57
Elena,Gómez,21,M,3,64.5
Carlos,García,22,F,2,44.37
Sofía,Fernández,18,F,4,56.37
José,García,20,F,5,61.45
María,García,18,M,4,48.51
Sofía,Gómez,19,M,3,54.16
Pedro,Pérez,21,M,8,93.71
Luis,Martínez,19,M,4,65.39
Carlos,Díaz,18,M,2,50.65
María,Díaz,18,M,2,53.03
Sofía,Rodríguez,22,M,1,42.09
Luis,Gómez,20,M,4,48.42
